Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2019-12-12 17:03:20,2019-12-11,CSV,Carriage Services Inc,Goetz William,COO,P - Purchase,27.6,10000.0,10000.0,New,274800.0,25.08,24.61,15.19,14.16,24.46,45.4,-9.13,-10.83,-44.96,-48.7,-11.38,64.49,True
2019-12-04 11:21:09,2019-12-02,CVLY,Codorus Valley Bancorp Inc,Kauffman Craig L,"EVP, COO",P - Purchase,20.66,10000.0,15263.0,190.0,223188.0,21.88,21.27,13.38,11.62,12.95,22.91,5.91,2.95,-35.24,-43.76,-37.32,10.89,True
2019-11-29 13:38:58,2019-11-26,IMCI,Infinite Group Inc,Hoyen Andrew T.,EVP- COO,P - Purchase,0.04,40000.0,186734.0,27.0,1400.0,0.04,0.04,0.05,0.12,0.12,0.15,0.0,0.0,25.0,200.0,200.0,275.0,True
2019-11-22 13:54:02,2019-11-20,CTRA,"Contura Energy, Inc.",Whitehead Jason E.,COO,P - Purchase,15.36,13000.0,13000.0,New,93600.0,15.07,16.32,15.44,19.07,16.21,15.35,-1.89,6.25,0.52,24.15,5.53,-0.07,True
2019-11-21 18:19:12,2019-11-20,DZSI,Dasan Zhone Solutions Inc,Yim Philip,COO,P - Purchase,7.44,5000.0,5000.0,New,38482.0,7.64,8.6,4.2,6.95,10.45,12.63,2.69,15.59,-43.55,-6.59,40.46,69.76,True
2019-11-18 16:25:12,2019-11-15,DRTT,Dirtt Environmental Solutions Ltd,Calkins Jeffrey,COO,P - Purchase,3.15,9400.0,9400.0,New,30202.0,3.32,3.33,1.57,1.23,1.57,3.31,5.4,5.71,-50.16,-60.95,-50.16,5.08,True
2019-11-15 16:08:39,2019-11-14,AINC,Ashford Inc.,Welter Jeremy,"Co-Pres, COO",P - Purchase,22.25,5000.0,37539.0,15.0,113473.0,23.56,25.51,18.1,7.9,5.7,14.52,5.89,14.65,-18.65,-64.49,-74.38,-34.74,True
2019-11-13 13:02:56,2019-11-13,BXC,Bluelinx Holdings Inc.,Averitt Alexander S,COO,P - Purchase,13.68,1500.0,4442.0,51.0,21300.0,10.27,11.37,8.52,5.37,25.8,50.04,-24.93,-16.89,-37.72,-60.75,88.6,265.79,True
2019-11-12 06:31:56,2019-11-08,GTE,Gran Tierra Energy Inc.,Berthelet Remi Anthony,COO,P - Purchase,1.05,42000.0,42000.0,New,44940.0,1.02,0.99,0.77,0.3,0.23,0.57,-2.86,-5.71,-26.67,-71.43,-78.1,-45.71,True
2019-10-29 20:25:14,2019-10-25,REED,"Reed'S, Inc.",Snyder Norman E. Jr.,COO,P - Purchase,0.65,250000.0,250000.0,New,150000.0,0.75,0.7,1.1,0.45,0.93,0.67,15.38,7.69,69.23,-30.77,43.08,3.08,True
2019-10-18 16:36:41,2019-10-16,HBT,"Hbt Financial, Inc.",Carter James Lance,"Pres, COO",P - Purchase,14.77,20000.0,80800.0,33.0,320000.0,14.87,16.11,17.17,9.62,11.63,16.19,0.68,9.07,16.25,-34.87,-21.26,9.61,True
2019-10-07 12:29:09,2019-09-12,LSMG,Lode-Star Mining Inc.,Temkin Thomas,COO,P - Purchase,0.04,50000.0,80000.0,167.0,1000.0,0.05,0.05,0.07,0.08,0.1,0.09,25.0,25.0,75.0,100.0,150.0,125.0,True
2019-09-25 15:51:45,2019-09-23,KIRK,"Kirkland'S, Inc",Cairnes Mike,"Pres, COO",P - Purchase,1.49,12110.0,132634.0,10.0,16585.0,1.34,1.64,1.6,0.84,7.6,19.46,-10.07,10.07,7.38,-43.62,410.07,1206.04,True
2019-09-19 13:31:33,2019-09-19,DXLG,"Destination Xl Group, Inc.",Reaves Brian,"EVP, COO",P - Purchase,1.5,21735.0,136469.0,19.0,29429.0,1.47,1.39,1.14,0.67,0.28,4.75,-2.0,-7.33,-24.0,-55.33,-81.33,216.67,True
2019-09-16 15:51:57,2019-09-03,MCCX,"McOrpcx, Inc.",Davison Lynn L,COO,P - Purchase,0.09,300000.0,300000.0,New,15000.0,0.09,0.09,0.06,0.12,0.05,0.05,0.0,0.0,-33.33,33.33,-44.44,-44.44,True
2019-09-13 21:48:18,2019-09-11,CC,Chemours Co,Newman Mark,"SVP, COO",P - Purchase,14.81,20000.0,116741.0,21.0,328340.0,13.15,13.44,16.18,17.85,16.3,35.67,-11.21,-9.25,9.25,20.53,10.06,140.85,True
2019-08-29 10:19:10,2019-08-27,RIVE,Riverview Financial Corp,Kunkel Ginger G,COO,P - Purchase,9.67,5000.0,8659.0,137.0,51812.0,10.94,10.75,11.81,12.26,5.37,10.92,13.13,11.17,22.13,26.78,-44.47,12.93,True
2019-08-27 19:18:30,2019-08-20,CWGL,"Crimson Wine Group, Ltd",Quille Nicolas Michel Eric,"Interim Pres, CEO,COO",P - Purchase,7.24,500.0,1000.0,100.0,3739.0,7.8,7.6,6.79,7.22,5.2,8.9,7.73,4.97,-6.22,-0.28,-28.18,22.93,True
