Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2020-03-10 17:15:25,2020-03-10,WES,"Western Midstream Partners, LP",Ure Michael,"Pres, CEO",P - Purchase,4.88,10000.0,10000.0,New,54500.0,2.79,4.73,8.78,8.62,14.22,0.0,-42.83,-3.07,79.92,76.64,191.39,0.0,True
2020-03-10 17:14:57,2020-03-09,HP,"Helmerich & Payne, Inc.",Benson Todd Willard,"Pres of H, P Technologies",P - Purchase,15.85,10000.0,49297.0,25.0,202100.0,15.25,17.36,17.61,,24.67,0.0,-3.79,9.53,11.1,,55.65,0.0,True
2020-03-10 16:58:05,2020-03-09,OVV,Ovintiv Inc.,McAllister Michael Gerard,Pres,P - Purchase,2.87,2745.0,21010.0,15.0,10953.0,2.37,3.3,10.45,11.76,15.59,0.0,-17.42,14.98,264.11,309.76,443.21,0.0,True
2020-03-10 16:39:52,2020-03-09,FLS,Flowserve Corp,Chowbey Sanjay,"Pres, AMSS",P - Purchase,24.61,500.0,850.0,143.0,15190.0,20.75,22.93,,31.09,36.64,0.0,-15.68,-6.83,,26.33,48.88,0.0,True
2020-03-10 16:39:31,2020-03-06,OCN,Ocwen Financial Corp,Messina Glen A.,"Pres, CEO",P - Purchase,16.5,56300.0,484128.0,13.0,61930.0,7.2,4.65,9.3,,24.46,0.0,-56.36,-71.82,-43.64,,48.24,0.0,True
2020-03-10 16:37:49,2020-03-06,DRTT,Dirtt Environmental Solutions Ltd,Omeara Kevin P,"Pres, CEO, Dir",P - Purchase,1.57,25000.0,75000.0,50.0,35638.0,0.88,0.87,1.18,1.68,2.39,0.0,-43.95,-44.59,-24.84,7.01,52.23,0.0,True
2020-03-10 16:33:23,2020-03-10,SGMS,Scientific Games Corp,Cottle Barry L,"Pres, CEO",P - Purchase,8.73,5000.0,101249.0,5.0,51700.0,8.34,9.15,16.25,21.98,47.9,0.0,-4.47,4.81,86.14,151.78,448.68,0.0,True
2020-03-10 16:19:01,2020-03-09,EAT,"Brinker International, Inc",Baltes Kelly C.,"EVP, Pres of Maggiano's",P - Purchase,17.16,1000.0,6500.0,18.0,25290.0,11.07,17.29,22.15,45.61,66.8,0.0,-35.49,0.76,29.08,165.79,289.28,0.0,True
2020-03-10 16:18:56,2020-03-09,FNWB,First Northwest Bancorp,Deines Matthew,"Pres, CEO",P - Purchase,13.11,3000.0,45000.0,7.0,41040.0,10.41,10.79,11.45,,16.15,0.0,-20.59,-17.7,-12.66,,23.19,0.0,True
2020-03-10 16:18:09,2020-03-10,AE,"Adams Resources & Energy, Inc.",Roycraft Kevin J.,"CEO, Pres",P - Purchase,21.81,805.0,1289.0,166.0,19996.0,25.46,22.11,25.52,21.72,25.36,0.0,16.74,1.38,17.01,-0.41,16.28,0.0,True
2020-03-10 16:17:55,2020-03-09,BHF,"Brighthouse Financial, Inc.",Steigerwalt Eric T,"Pres, CEO",P - Purchase,23.26,10000.0,135816.0,8.0,237079.0,25.28,27.52,26.75,31.8,40.0,0.0,8.68,18.31,15.0,36.72,71.97,0.0,True
2020-03-10 16:16:34,2020-03-09,OSPN,Onespan Inc.,Clements Scott,"Pres, CEO",P - Purchase,12.9,7000.0,93690.0,8.0,98980.0,16.37,15.59,27.79,21.57,25.72,0.0,26.9,20.85,115.43,67.21,99.38,0.0,True
2020-03-10 16:16:05,2020-03-09,FLXS,Flexsteel Industries Inc,Dittmer Jerald K,"Pres, CEO",P - Purchase,10.85,2213.0,40443.0,6.0,27906.0,,9.57,,17.71,34.86,0.0,,-11.8,,63.23,221.29,0.0,True
2020-03-10 16:00:11,2020-03-09,TSE,Trinseo S.A.,Bozich Frank A,"Pres, CEO",P - Purchase,15.85,12000.0,96770.0,14.0,200400.0,17.92,20.86,20.5,25.66,54.37,0.0,13.06,31.61,29.34,61.89,243.03,0.0,True
2020-03-10 15:55:49,2020-03-10,PWOD,Penns Woods Bancorp Inc,Knepp Brian L,Pres,P - Purchase,23.03,400.0,4478.0,10.0,10112.0,19.29,23.4,21.34,20.95,22.43,0.0,-16.24,1.61,-7.34,-9.03,-2.61,0.0,True
2020-03-10 15:01:55,2020-03-10,CADE,Cadence Bancorporation,Tortorici Samuel M.,"Pres, COO",P - Purchase,19.2,20000.0,172661.0,13.0,175000.0,16.81,21.47,19.57,21.81,28.53,0.0,-12.45,11.82,1.93,13.59,48.59,0.0,True
2020-03-10 14:53:00,2020-03-10,DCP,"Dcp Midstream, LP",Van Kempen Wouter T.,"Pres, CEO",P - Purchase,5.51,64500.0,67040.0,999.0,497940.0,2.97,5.18,10.03,13.38,18.85,0.0,-46.1,-5.99,82.03,142.83,242.11,0.0,True
2020-03-10 09:01:18,2020-03-09,BSVN,Bank7 Corp.,Levinson Andrew J,Regional Pres - Tulsa,P - Purchase,8.5,697.0,5204.0,15.0,7466.0,7.61,7.55,,9.94,15.79,0.0,-10.47,-11.18,,16.94,85.76,0.0,True
2020-03-10 08:36:14,2020-03-06,LOW,Lowes Companies Inc,Ellison Marvin R,"Pres, CEO",P - Purchase,102.48,10000.0,90090.0,12.0,1038595.0,64.57,79.99,130.99,150.11,168.92,0.0,-36.99,-21.95,27.82,46.48,64.83,0.0,True
2020-03-10 07:56:12,2020-03-09,HXL,Hexcel Corp /de/,Stanage Nick L,"COB, CEO, Pres",P - Purchase,50.72,20000.0,263285.0,8.0,1119280.0,38.49,35.42,44.11,41.47,51.25,0.0,-24.11,-30.17,-13.03,-18.24,1.04,0.0,True
2020-03-09 18:55:40,2020-03-06,SMHI,Seacor Marine Holdings Inc.,Gellert John M,"Pres, CEO",P - Purchase,7.28,25000.0,417602.0,6.0,163093.0,3.73,3.94,2.68,2.79,3.47,0.0,-48.76,-45.88,-63.19,-61.68,-52.34,0.0,True
2020-03-09 18:17:25,2020-03-05,QRTEA,"Qurate Retail, Inc.",George Michael A,"Pres, CEO",P - Purchase,3.36,550000.0,2489137.0,28.0,2994575.0,2.76,3.54,5.74,6.68,11.83,0.0,-17.86,5.36,70.83,98.81,252.08,0.0,True
2020-03-09 17:21:58,2020-03-09,MOS,Mosaic Co,O'Rourke James Calvin,"Pres, CEO",P - Purchase,10.85,15000.0,186345.0,9.0,201390.0,9.75,12.78,11.95,17.3,28.16,0.0,-10.14,17.79,10.14,59.45,159.54,0.0,True
2020-03-09 17:02:20,2020-03-06,LTRX,Lantronix Inc,Pickle Paul H,"Pres, CEO",P - Purchase,2.91,10000.0,17716.0,130.0,29514.0,1.61,1.9,3.49,4.66,4.78,0.0,-44.67,-34.71,19.93,60.14,64.26,0.0,True
2020-03-09 16:37:44,2020-03-06,AEL,American Equity Investment Life Holding Co,Bhalla Anant,"CEO, Pres",P - Purchase,22.32,8500.0,44671.0,23.0,178125.0,11.61,15.72,21.47,23.4,29.19,0.0,-47.98,-29.57,-3.81,4.84,30.78,0.0,True
2020-03-09 16:28:17,2020-03-09,MTW,Manitowoc Co Inc,Pennypacker Barry,"Pres, CEO",P - Purchase,10.59,27000.0,254738.0,12.0,247415.0,7.88,9.44,10.6,9.81,14.97,0.0,-25.59,-10.86,0.09,-7.37,41.36,0.0,True
2020-03-09 16:18:42,2020-03-06,EAT,"Brinker International, Inc",Baltes Kelly C.,"EVP, Pres of Maggiano's",P - Purchase,29.98,500.0,5500.0,10.0,14600.0,9.31,10.47,22.27,38.49,65.64,0.0,-68.95,-65.08,-25.72,28.39,118.95,0.0,True
2020-03-09 16:15:23,2020-03-09,CHMI,Cherry Hill Mortgage Investment Corp,Lown Jeffrey B,Pres,P - Purchase,7.43,620.0,12518.0,5.0,7967.0,6.81,5.5,7.25,8.47,8.09,0.0,-8.34,-25.98,-2.42,14.0,8.88,0.0,True
2020-03-09 15:12:37,2020-03-09,FMBM,F&m Bank Corp,Hanna Mark Christopher,"Pres, CEO",P - Purchase,21.05,350.0,3217.0,12.0,8925.0,16.84,17.78,18.03,,23.33,0.0,-20.0,-15.53,-14.35,,10.83,0.0,True
2020-03-09 14:39:15,2020-03-06,PWOD,Penns Woods Bancorp Inc,Young Karen S,"Pres, CEO JSSB",P - Purchase,26.14,104.0,862.0,14.0,2969.0,19.7,18.94,21.38,19.35,21.03,0.0,-24.64,-27.54,-18.21,-25.98,-19.55,0.0,True
2020-03-09 13:50:27,2020-03-06,GEL,Genesis Energy LP,Flynn Edward T,"Pres, Genesis Alkali, LLC",P - Purchase,7.36,11500.0,71000.0,19.0,100510.0,3.62,3.28,7.63,5.61,6.08,0.0,-50.82,-55.43,3.67,-23.78,-17.39,0.0,True
